Name, Has TP Support, Has Auto Solver
int##, TRUE, TRUE
Integer Trees, TRUE, TRUE
Intensity Levels, TRUE, TRUE
Interpunct, TRUE, TRUE
Intervals, TRUE, TRUE
Inverse, TRUE, TRUE
Invisymbol, TRUE, TRUE
IPA, TRUE, TRUE
Iron Lung, TRUE, TRUE
Isocolored Squares, TRUE, TRUE
Item Predicament, TRUE, TRUE
J, TRUE, TRUE
Jack Attack, TRUE, TRUE
Jackbox.TV, TRUE, TRUE
Jaden Smith Talk, TRUE, TRUE
Jank Hole, TRUE, TRUE
Jellybeans, TRUE, TRUE
Jenga, TRUE, TRUE
"Jerma, Jerma, Dream", TRUE, TRUE
Job Application, TRUE, TRUE
Judgement, TRUE, TRUE
Jumble, TRUE, TRUE
Jumble Cycle, TRUE, TRUE
Jumbled Buttons, TRUE, TRUE
Jupiter, TRUE, TRUE
Just Numbers, TRUE, TRUE
Juxtacolored Cube, TRUE, TRUE
Juxtacolored Squares, TRUE, TRUE
Kahoot!, TRUE, TRUE
Kanji, TRUE, TRUE
Karnaugh Map, TRUE, TRUE
Kawaiitlyn, TRUE, TRUE
KayMazey Talk, TRUE, TRUE
Keep Clicking, TRUE, TRUE
Keyed Buttons, TRUE, TRUE
Keypad Combinations, TRUE, TRUE
Keypad Directionality, TRUE, TRUE
Keypad Lock, TRUE, TRUE
